price;bedrooms;is_studio;bedrooms_log;accommodates;beds;room_type;neighbourhood_cleansed;review_scores_rating;number_of_reviews
235.0;4;0;1.6094379124341003;7;6,0;Entire home/apt;Lewisham;4,66;47
236.0;3;0;1.3862943611198906;7;4,0;Entire home/apt;Lewisham;4,7;69
66.0;1;0;0.6931471805599453;2;2,0;Private room;Lambeth;4,63;563
74.0;1;0;0.6931471805599453;3;1,0;Entire home/apt;Richmond upon Thames;4,64;88
50.0;0;1;0.0;2;1,0;Entire home/apt;Lewisham;4,55;44
248.0;1;0;0.6931471805599453;5;4,0;Entire home/apt;Hammersmith and Fulham;4,54;61
112.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Lewisham;4,42;111
122.0;2;0;1.0986122886681098;6;4,0;Entire home/apt;Hounslow;4,13;15
140.0;1;0;0.6931471805599453;2;1,0;Private room;Camden;4,93;84
95.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Ealing;4,6;25
117.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,86;37
32.0;1;0;0.6931471805599453;1;1,0;Private room;Newham;4,92;66
37.0;1;0;0.6931471805599453;1;1,0;Private room;Newham;4,83;63
40.0;1;0;0.6931471805599453;1;0,0;Private room;Greenwich;;0
118.0;1;0;0.6931471805599453;3;2,0;Private room;Hammersmith and Fulham;4,46;235
48.0;1;0;0.6931471805599453;1;1,0;Private room;Waltham Forest;4,9;79
57.0;1;0;0.6931471805599453;1;1,0;Private room;Hillingdon;;0
189.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Haringey;4,73;77
253.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Hackney;4,7;53
41.0;1;0;0.6931471805599453;1;1,0;Private room;Barking and Dagenham;4,0;3
529.0;5;0;1.791759469228055;7;4,0;Entire home/apt;Camden;4,93;28
45.0;1;0;0.6931471805599453;2;1,0;Private room;Hillingdon;4,83;127
38.0;1;0;0.6931471805599453;2;1,0;Private room;Greenwich;4,96;397
44.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,92;40
429.0;4;0;1.6094379124341003;13;10,0;Entire home/apt;Merton;4,71;133
248.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,96;169
219.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Hackney;4,85;13
180.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Wandsworth;4,78;115
97.0;1;0;0.6931471805599453;4;1,0;Private room;Camden;4,74;70
26.0;1;0;0.6931471805599453;1;1,0;Private room;Waltham Forest;4,83;138
104.0;1;0;0.6931471805599453;2;1,0;Private room;Camden;4,78;328
95.0;1;0;0.6931471805599453;1;1,0;Private room;Kensington and Chelsea;4,87;39
70.0;1;0;0.6931471805599453;2;1,0;Private room;Wandsworth;4,33;219
171.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Islington;4,82;69
70.0;1;0;0.6931471805599453;2;1,0;Private room;Wandsworth;4,85;245
166.0;1;0;0.6931471805599453;5;4,0;Entire home/apt;Lambeth;4,85;75
178.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Lambeth;4,97;180
114.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Islington;4,83;265
58.0;1;0;0.6931471805599453;4;3,0;Private room;Ealing;4,55;163
37.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;4,84;195
95.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,7;31
96.0;2;0;1.0986122886681098;4;8,0;Entire home/apt;Barnet;4,55;53
60.0;1;0;0.6931471805599453;2;3,0;Private room;Hammersmith and Fulham;4,89;337
201.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Camden;4,42;68
26.0;1;0;0.6931471805599453;2;1,0;Private room;Croydon;4,58;67
176.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;City of London;4,98;43
198.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Hounslow;4,75;68
39.0;1;0;0.6931471805599453;2;2,0;Private room;Lambeth;4,73;216
39.0;0;1;0.0;3;3,0;Private room;Lambeth;4,78;247
103.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,83;80
200.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Kensington and Chelsea;4,79;135
135.0;1;0;0.6931471805599453;2;1,0;Private room;Newham;5,0;21
83.0;1;0;0.6931471805599453;4;1,0;Private room;Camden;4,92;311
300.0;3;0;1.3862943611198906;8;3,0;Entire home/apt;Camden;4,76;68
99.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,72;73
32.0;2;0;1.0986122886681098;2;1,0;Private room;Lambeth;4,65;261
36.0;1;0;0.6931471805599453;1;1,0;Private room;Newham;4,8;111
204.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Tower Hamlets;4,85;33
180.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Hackney;4,67;124
37.0;1;0;0.6931471805599453;2;1,0;Private room;Haringey;4,97;96
138.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Lambeth;4,9;334
115.0;1;0;0.6931471805599453;1;1,0;Private room;Westminster;4,84;157
204.0;3;0;1.3862943611198906;6;4,0;Entire home/apt;Hackney;5,0;3
192.0;2;0;1.0986122886681098;6;3,0;Entire home/apt;Camden;4,48;192
420.0;3;0;1.3862943611198906;6;2,0;Entire home/apt;Wandsworth;;0
86.0;1;0;0.6931471805599453;4;1,0;Entire home/apt;Tower Hamlets;5,0;5
51.0;0;1;0.0;2;1,0;Private room;Waltham Forest;4,88;157
54.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,85;250
275.0;4;0;1.6094379124341003;8;5,0;Entire home/apt;Hackney;4,78;11
223.0;2;0;1.0986122886681098;5;3,0;Entire home/apt;Richmond upon Thames;4,73;156
361.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Westminster;4,67;15
90.0;1;0;0.6931471805599453;3;2,0;Private room;Lambeth;4,7;60
107.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,78;83
81.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,59;17
97.0;1;0;0.6931471805599453;5;1,0;Entire home/apt;Camden;4,41;49
45.0;1;0;0.6931471805599453;2;1,0;Private room;Richmond upon Thames;4,95;239
57.0;1;0;0.6931471805599453;2;1,0;Private room;Hackney;4,94;107
50.0;1;0;0.6931471805599453;1;0,0;Private room;Hammersmith and Fulham;4,65;53
50.0;1;0;0.6931471805599453;1;1,0;Private room;Hammersmith and Fulham;4,61;151
781.0;1;0;0.6931471805599453;1;;Private room;Wandsworth;5,0;1
80.0;1;0;0.6931471805599453;2;4,0;Entire home/apt;Kensington and Chelsea;4,77;171
51.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,67;6
23.0;1;0;0.6931471805599453;1;1,0;Private room;Barnet;4,7;105
20.0;1;0;0.6931471805599453;1;1,0;Private room;Merton;4,86;37
180.0;1;0;0.6931471805599453;7;7,0;Entire home/apt;Hackney;4,73;12
150.0;1;0;0.6931471805599453;2;1,0;Private room;Redbridge;;0
38.0;1;0;0.6931471805599453;1;1,0;Private room;Tower Hamlets;4,94;179
83.0;1;0;0.6931471805599453;2;1,0;Private room;Brent;4,88;144
50.0;1;0;0.6931471805599453;2;1,0;Private room;Merton;4,99;73
72.0;1;0;0.6931471805599453;2;1,0;Private room;Ealing;4,97;30
85.0;1;0;0.6931471805599453;2;2,0;Private room;Merton;4,88;66
53.0;1;0;0.6931471805599453;1;1,0;Private room;Hammersmith and Fulham;4,84;490
53.0;1;0;0.6931471805599453;1;1,0;Private room;Hammersmith and Fulham;4,82;460
64.0;2;0;1.0986122886681098;2;2,0;Private room;Wandsworth;4,86;451
41.0;1;0;0.6931471805599453;1;1,0;Private room;Hounslow;4,85;202
63.0;1;0;0.6931471805599453;1;1,0;Private room;Westminster;4,95;153
81.0;1;0;0.6931471805599453;2;1,0;Private room;Camden;4,72;270
33.0;2;0;1.0986122886681098;2;2,0;Private room;Greenwich;4,43;7
42.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;4,89;92
120.0;1;0;0.6931471805599453;2;1,0;Private room;Westminster;4,83;157
59.0;1;0;0.6931471805599453;2;1,0;Private room;Wandsworth;4,89;29
63.0;1;0;0.6931471805599453;2;4,0;Private room;Croydon;5,0;9
87.0;0;1;0.0;4;2,0;Entire home/apt;Ealing;4,79;176
49.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,74;50
39.0;1;0;0.6931471805599453;1;1,0;Private room;Southwark;5,0;11
410.0;1;0;0.6931471805599453;1;1,0;Private room;Kensington and Chelsea;4,96;336
40.0;1;0;0.6931471805599453;2;0,0;Private room;Wandsworth;4,78;74
345.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Kensington and Chelsea;4,96;53
135.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Hackney;4,71;18
74.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,94;185
114.0;1;0;0.6931471805599453;1;1,0;Private room;Southwark;;0
195.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Kensington and Chelsea;4,75;8
38.0;1;0;0.6931471805599453;1;1,0;Private room;Redbridge;5,0;3
